key,value,date
air1,42.999,01/01/13
air1,8.81,02/01/13
air1,113.538,03/01/13
air1,476.474,04/01/13
air1,1364.882,05/01/13
air1,2642.753,06/01/13
air1,2766.182,07/01/13
air1,3218.832,08/01/13
air1,2055.029,09/01/13
air1,593.088,10/01/13
air1,92.834,11/01/13
furnace1,257.704,01/01/13
furnace1,159.97,02/01/13
furnace1,182.206,03/01/13
furnace1,225.95,04/01/13
furnace1,358.499,05/01/13
furnace1,552.243,06/01/13
furnace1,609.897,07/01/13
furnace1,745.628,08/01/13
furnace1,530.477,09/01/13
furnace1,230.371,10/01/13
furnace1,211.749,11/01/13
bedroom2,219.13,01/01/13
bedroom2,244.841,02/01/13
bedroom2,241.937,03/01/13
bedroom2,257.548,04/01/13
bedroom2,270.981,05/01/13
bedroom2,264.902,06/01/13
bedroom2,322.004,07/01/13
bedroom2,292.949,08/01/13
bedroom2,283.343,09/01/13
bedroom2,212.158,10/01/13
bedroom2,246.517,11/01/13
bedroom1,27.35,01/01/13
bedroom1,22.262,02/01/13
bedroom1,27.509,03/01/13
bedroom1,28.311,04/01/13
bedroom1,89.412,05/01/13
bedroom1,103.823,06/01/13
bedroom1,18.873,07/01/13
bedroom1,3.293,08/01/13
bedroom1,0.872,09/01/13
bedroom1,0.317,10/01/13
bedroom1,2.05,11/01/13
livingroom1,3.296,01/01/13
livingroom1,4.15,02/01/13
livingroom1,5.077,03/01/13
livingroom1,4.342,04/01/13
livingroom1,4.012,05/01/13
livingroom1,2.072,06/01/13
livingroom1,3.991,07/01/13
livingroom1,6.338,08/01/13
livingroom1,4.282,09/01/13
livingroom1,2.948,10/01/13
livingroom1,5.508,11/01/13
range1,2.079,01/01/13
range1,1.051,02/01/13
range1,1.08,03/01/13
range1,1.54,04/01/13
range1,1.465,05/01/13
range1,1.9,06/01/13
range1,2.708,07/01/13
range1,8.467,08/01/13
range1,8.066,09/01/13
range1,4.888,10/01/13
range1,4.251,11/01/13
