key,value,date
air1,150.315,01/01/13
air1,145.826,02/01/13
air1,505.566,03/01/13
air1,906.695,04/01/13
air1,1898.723,05/01/13
air1,3039.759,06/01/13
air1,3056.591,07/01/13
air1,3597.661,08/01/13
air1,2632.359,09/01/13
air1,1174.752,10/01/13
air1,323.458,11/01/13
furnace1,601.694,01/01/13
furnace1,610.694,02/01/13
furnace1,725.65,03/01/13
furnace1,865.163,04/01/13
furnace1,1047.776,05/01/13
furnace1,1431.758,06/01/13
furnace1,1441.244,07/01/13
furnace1,1612.961,08/01/13
furnace1,1334.7,09/01/13
furnace1,723.652,10/01/13
furnace1,541.004,11/01/13
refrigerator1,574.315,01/01/13
refrigerator1,541.815,02/01/13
refrigerator1,615.876,03/01/13
refrigerator1,593.741,04/01/13
refrigerator1,613.825,05/01/13
refrigerator1,553.182,06/01/13
refrigerator1,462.975,07/01/13
refrigerator1,455.172,08/01/13
refrigerator1,420.578,09/01/13
refrigerator1,316.31,10/01/13
refrigerator1,363.734,11/01/13
drye1,501.597,01/01/13
drye1,397.008,02/01/13
drye1,359.05,03/01/13
drye1,313.707,04/01/13
drye1,331.753,05/01/13
drye1,178.47,06/01/13
drye1,182.267,07/01/13
drye1,236.828,08/01/13
drye1,259.949,09/01/13
drye1,214.743,10/01/13
drye1,405.263,11/01/13
lights_plugs1,202.97,01/01/13
lights_plugs1,123.14,02/01/13
lights_plugs1,92.234,03/01/13
lights_plugs1,124.605,04/01/13
lights_plugs1,180.443,05/01/13
lights_plugs1,218.36,06/01/13
lights_plugs1,185.868,07/01/13
lights_plugs1,190.688,08/01/13
lights_plugs1,215.94,09/01/13
lights_plugs1,103.406,10/01/13
lights_plugs1,0.0,11/01/13
outsidelights_plugs1,154.938,01/01/13
outsidelights_plugs1,114.019,02/01/13
outsidelights_plugs1,146.495,03/01/13
outsidelights_plugs1,130.285,04/01/13
outsidelights_plugs1,117.087,05/01/13
outsidelights_plugs1,118.909,06/01/13
outsidelights_plugs1,153.356,07/01/13
outsidelights_plugs1,98.274,08/01/13
outsidelights_plugs1,158.146,09/01/13
outsidelights_plugs1,76.077,10/01/13
outsidelights_plugs1,209.279,11/01/13
