key,value,date
air2,122.872,01/01/13
air2,103.452,02/01/13
air2,102.08,03/01/13
air2,238.582,04/01/13
air2,1050.939,05/01/13
air2,2485.724,06/01/13
air2,2245.608,07/01/13
air2,3145.625,08/01/13
air2,1927.77,09/01/13
air2,570.846,10/01/13
air2,177.068,11/01/13
air1,686.972,01/01/13
air1,295.799,02/01/13
air1,216.219,03/01/13
air1,82.994,04/01/13
air1,225.46,05/01/13
air1,567.794,06/01/13
air1,383.308,07/01/13
air1,772.895,08/01/13
air1,641.886,09/01/13
air1,223.593,10/01/13
air1,357.86,11/01/13
refrigerator1,312.076,01/01/13
refrigerator1,285.851,02/01/13
refrigerator1,312.86,03/01/13
refrigerator1,331.12,04/01/13
refrigerator1,375.027,05/01/13
refrigerator1,366.606,06/01/13
refrigerator1,378.658,07/01/13
refrigerator1,360.062,08/01/13
refrigerator1,353.056,09/01/13
refrigerator1,248.719,10/01/13
refrigerator1,299.688,11/01/13
heater1,478.561,01/01/13
heater1,186.664,02/01/13
heater1,211.169,03/01/13
heater1,63.179,04/01/13
heater1,57.323,05/01/13
heater1,73.252,06/01/13
heater1,183.893,07/01/13
heater1,282.238,08/01/13
heater1,235.301,09/01/13
heater1,198.788,10/01/13
heater1,408.19,11/01/13
drye1,177.148,01/01/13
drye1,162.109,02/01/13
drye1,220.441,03/01/13
drye1,145.125,04/01/13
drye1,162.207,05/01/13
drye1,175.213,06/01/13
drye1,56.559,07/01/13
drye1,104.187,08/01/13
drye1,129.686,09/01/13
drye1,99.487,10/01/13
drye1,120.243,11/01/13
dishwasher1,69.074,01/01/13
dishwasher1,53.332,02/01/13
dishwasher1,50.546,03/01/13
dishwasher1,54.577,04/01/13
dishwasher1,57.587,05/01/13
dishwasher1,45.21,06/01/13
dishwasher1,25.538,07/01/13
dishwasher1,47.37,08/01/13
dishwasher1,52.466,09/01/13
dishwasher1,28.728,10/01/13
dishwasher1,51.71,11/01/13
