key,value,date
air1,1.364,01/01/13
air1,15.676,02/01/13
air1,63.472,03/01/13
air1,141.358,04/01/13
air1,825.231,05/01/13
air1,1827.589,06/01/13
air1,2195.62,07/01/13
air1,2504.961,08/01/13
air1,1313.481,09/01/13
air1,247.105,10/01/13
air1,18.503,11/01/13
bedroom2,412.919,01/01/13
bedroom2,349.517,02/01/13
bedroom2,399.588,03/01/13
bedroom2,425.402,04/01/13
bedroom2,439.225,05/01/13
bedroom2,387.671,06/01/13
bedroom2,466.109,07/01/13
bedroom2,435.426,08/01/13
bedroom2,307.578,09/01/13
bedroom2,242.237,10/01/13
bedroom2,292.478,11/01/13
refrigerator1,279.556,01/01/13
refrigerator1,274.275,02/01/13
refrigerator1,306.93,03/01/13
refrigerator1,307.371,04/01/13
refrigerator1,330.796,05/01/13
refrigerator1,339.921,06/01/13
refrigerator1,358.176,07/01/13
refrigerator1,342.797,08/01/13
refrigerator1,322.472,09/01/13
refrigerator1,234.608,10/01/13
refrigerator1,248.773,11/01/13
furnace1,301.545,01/01/13
furnace1,205.538,02/01/13
furnace1,210.705,03/01/13
furnace1,194.412,04/01/13
furnace1,205.824,05/01/13
furnace1,207.063,06/01/13
furnace1,287.611,07/01/13
furnace1,308.413,08/01/13
furnace1,212.004,09/01/13
furnace1,107.115,10/01/13
furnace1,201.56,11/01/13
clotheswasher_dryg1,95.034,01/01/13
clotheswasher_dryg1,83.427,02/01/13
clotheswasher_dryg1,90.287,03/01/13
clotheswasher_dryg1,93.546,04/01/13
clotheswasher_dryg1,103.95,05/01/13
clotheswasher_dryg1,92.732,06/01/13
clotheswasher_dryg1,97.352,07/01/13
clotheswasher_dryg1,85.531,08/01/13
clotheswasher_dryg1,74.309,09/01/13
clotheswasher_dryg1,16.724,10/01/13
clotheswasher_dryg1,59.67,11/01/13
bedroom1,63.759,01/01/13
bedroom1,52.772,02/01/13
bedroom1,62.226,03/01/13
bedroom1,44.398,04/01/13
bedroom1,47.861,05/01/13
bedroom1,34.358,06/01/13
bedroom1,49.337,07/01/13
bedroom1,41.197,08/01/13
bedroom1,35.332,09/01/13
bedroom1,27.928,10/01/13
bedroom1,31.767,11/01/13
